ID,Question,Intent,Response,Source_ID,Status
123,What courses are offered?,courses,Galgotias University offers programmes across multiple academic areas and levels. Please check the official programme listings for the current courses available.,S003,Added - Natural generic training example based on official-source intent
124,What courses can I study at Galgotias University?,courses,"Galgotias University offers a wide range of courses across engineering, computer applications, management, law, design, sciences, agriculture, hospitality, media, and more — spanning Bachelor's, Master's, diploma, certificate, and PhD levels.",S003,Verified - Official Source
125,What degree programmes are available?,courses,"Students can find undergraduate, postgraduate, and other degree-level programmes at Galgotias University. The available choices vary depending on the academic discipline.",S003,Added - Natural student question variation; source inherited from intent example
126,What degree options does Galgotias University provide?,courses,"Students can find undergraduate, postgraduate, and other degree-level programmes at Galgotias University. The available choices vary depending on the academic discipline.",S003,Added - Natural student question variation; source inherited from intent example
127,What is the duration of the B.Tech programme at Galgotias University?,courses,"Please check the official programme information for the exact duration of the specific B.Tech programme you are interested in, as programme duration and entry mode should be confirmed from the current official listing.",S003,Corrected - Requires programme-specific official confirmation
128,What PhD subjects are offered at Galgotias University?,courses,"Galgotias University offers PhD programs across more than 30 subjects spanning sciences, humanities, and professional disciplines such as Psychology, English, Political Science, Economics, and Mass Communication.",S048,Verified - Official Source
129,What postgraduate courses can I study?,courses,Galgotias University provides postgraduate study options in several areas. Students can check the university's current programme list to identify master's programmes related to their chosen field.,S003,Added - Natural student question variation; source inherited from intent example
130,Which postgraduate programmes are available for students?,courses,Galgotias University provides postgraduate study options in several areas. Students can check the university's current programme list to identify master's programmes related to their chosen field.,S003,Added - Natural student question variation; source inherited from intent example
131,What programs are available?,courses,The current programmes available at Galgotias University are listed on the university's official programme information pages.,S003,Added - Natural generic training example based on official-source intent
132,What schools does Galgotias University have?,courses,"Galgotias University is organised into multiple schools, including Engineering & Technology, Computer Applications, Management, Law, Liberal Arts, Hospitality, Architecture, Mass Communication, Agricultural Sciences, and Pharmacy.",S003,Verified - Official Source
133,What specializations are available under B.Tech Computer Science at Galgotias University?,courses,"B.Tech Computer Science and Engineering at Galgotias University is offered with specializations including Artificial Intelligence and Machine Learning, Data Science, Cyber Security, and Internet of Things.",S003,Verified - Official Source
134,What types of programmes does the university have?,courses,"The university offers programmes at different academic levels, including undergraduate and postgraduate studies, along with programmes in various professional and academic fields.",S003,Added - Natural student question variation; source inherited from intent example
135,What kinds of academic programmes are offered by the university?,courses,"The university offers programmes at different academic levels, including undergraduate and postgraduate studies, along with programmes in various professional and academic fields.",S003,Added - Natural student question variation; source inherited from intent example
136,Where can I see the list of available programmes?,courses,You can view the available Galgotias University programmes through the university's official website and programme listings. The list provides information about different courses and fields of study.,S003,Added - Natural student question variation; source inherited from intent example
137,How can I find the complete list of programmes offered by Galgotias University?,courses,You can view the available Galgotias University programmes through the university's official website and programme listings. The list provides information about different courses and fields of study.,S003,Added - Natural student question variation; source inherited from intent example
138,Which courses can I study at Galgotias University?,courses,Please refer to the official programme listings for the current courses and programmes available.,S003,Added - Natural generic training example based on official-source intent
139,Which programmes does Galgotias University offer?,courses,"Galgotias University offers a broad selection of programmes covering areas such as engineering, management, computer applications, law, science, and other subjects.",S003,Added - Natural student question variation; source inherited from intent example
